POIDS,TAILLE
63.0,170.0
55.0,160.0
52.0,162.0
50.0,156.0
76.0,168.0
55.0,172.0
65.0,140.0
122.0,180.0
52.0,170.0
82.0,180.0
97.0,183.0
70.0,175.0
49.0,160.0
64.0,183.0
80.0,175.0
54.0,169.0
65.0,171.0
158.0,160.0
59.0,152.0
103.0,158.0
76.0,173.0
93.0,162.0
58.0,180.0
50.0,162.0
51.0,170.0
58.0,158.0
60.0,155.0
85.0,173.0
50.0,160.0
92.0,172.0
67.0,163.0
95.0,176.0
80.0,170.0
86.0,173.0
65.0,164.0
65.0,167.0
73.0,156.0
80.0,170.0
66.0,160.0
55.0,155.0
78.0,170.0
86.0,150.0
73.0,169.0
75.0,166.0
56.0,165.0
86.0,157.0
80.0,170.0
76.0,166.0
82.0,174.0
72.0,164.0
73.0,168.0
78.0,170.0
68.0,179.0
69.0,150.0
73.0,153.0
68.0,161.0
60.0,175.0
48.0,170.0
41.0,147.0
75.0,159.0
78.0,183.0
110.0,185.0
55.0,170.0
56.0,151.0
106.0,183.0
48.0,160.0
49.0,169.0
72.0,152.0
90.0,189.0
76.0,169.0
89.0,181.0
73.0,176.0
56.0,163.0
78.0,172.0
90.0,163.0
83.0,174.0
65.0,177.0
65.0,178.0
80.0,168.0
62.0,161.0
83.0,187.0
75.0,172.0
70.0,158.0
50.0,157.0
69.0,170.0
68.0,158.0
60.0,176.0
65.0,170.0
69.0,167.0
111.0,190.0
70.0,167.0
52.0,165.0
61.0,176.0
96.0,175.0
68.0,171.0
100.0,181.0
75.0,160.0
70.0,161.0
67.0,169.0
97.0,164.0
80.0,190.0
68.0,163.0
70.0,160.0
67.0,172.0
79.0,180.0
62.0,160.0
52.0,163.0
103.0,190.0
75.0,165.0
52.0,170.0
70.0,169.0
61.0,165.0
76.0,160.0
101.0,184.0
70.0,157.0
95.0,163.0
54.0,168.0
83.0,180.0
62.0,160.0
93.0,193.0
82.0,190.0
53.0,160.0
62.0,159.0
34.0,145.0
79.0,160.0
62.0,162.0
72.0,181.0
165.0,183.0
146.0,166.0
123.0,173.0
68.0,174.0
80.0,169.0
86.0,164.0
61.0,147.0
62.0,180.0
82.0,183.0
60.0,160.0
85.0,177.0
87.0,185.0
49.0,168.0
57.0,153.0
63.0,170.0
60.0,175.0
58.0,175.0
131.0,176.0
124.0,166.0
60.0,147.0
92.0,187.0
50.0,166.0
50.0,164.0
92.0,180.0
62.0,165.0
82.0,173.0
105.0,159.0
81.0,172.0
54.0,151.0
103.0,189.0
62.0,167.0
89.0,163.0
69.0,182.0
76.0,175.0
120.0,157.0
157.0,162.0
68.0,165.0
120.0,168.0
43.0,152.0
174.0,165.0
54.0,141.0
34.0,147.0
128.0,180.0
60.0,162.0
85.0,169.0
88.0,177.0
60.0,165.0
74.0,170.0
73.0,163.0
63.0,170.0
56.0,165.0
76.0,152.0
70.0,175.0
49.0,160.0
94.0,146.0
75.0,173.0
102.0,168.0
82.0,160.0
53.0,169.0
85.0,180.0
55.0,168.0
119.0,161.0
77.0,172.0
105.0,160.0
88.0,178.0
75.0,170.0
79.0,172.0
62.0,166.0
108.0,170.0
87.0,168.0
64.0,171.0
73.0,158.0
87.0,176.0
83.0,170.0
120.0,160.0
99.0,173.0
110.0,180.0
50.0,170.0
65.0,162.0
108.0,180.0
78.0,171.0
64.0,163.0
127.0,152.0
78.0,177.0
108.0,174.0
130.0,169.0
55.0,169.0
65.0,170.0
72.0,173.0
70.0,169.0
66.0,176.0
86.0,176.0
103.0,187.0
64.0,172.0
69.0,168.0
95.0,185.0
70.0,172.0
53.0,160.0
57.0,165.0
70.0,178.0
80.0,176.0
93.0,168.0
85.0,184.0
48.0,162.0
84.0,165.0
65.0,168.0
85.0,169.0
58.0,172.0
65.0,168.0
70.0,183.0
105.0,181.0
83.0,173.0
60.0,164.0
92.0,175.0
84.0,176.0
101.0,182.0
110.0,173.0
58.0,159.0
70.0,148.0
89.0,169.0
100.0,163.0
55.0,165.0
92.0,176.0
88.0,175.0
80.0,186.0
103.0,191.0
55.0,171.0
78.0,165.0
59.0,170.0
48.0,160.0
57.0,165.0
85.0,172.0
87.0,148.0
95.0,169.0
68.0,171.0
58.0,173.0
80.0,170.0
52.0,152.0
82.0,178.0
57.0,161.0
55.0,160.0
72.0,170.0
47.0,165.0
90.0,172.0
100.0,180.0
65.0,169.0
91.0,165.0
104.0,153.0
87.0,180.0
107.0,175.0
64.0,165.0
42.0,168.0
98.0,167.0
78.0,172.0
54.0,170.0
58.0,165.0
55.0,159.0
84.0,171.0
65.0,158.0
86.0,172.0
84.0,174.0
82.0,172.0
69.0,158.0
86.0,162.0
78.0,178.0
100.0,172.0
65.0,176.0
65.0,182.0
77.0,168.0
52.0,156.0
51.0,170.0
54.0,170.0
85.0,167.0
85.0,157.0
60.0,150.0
54.0,162.0
58.0,171.0
85.0,187.0
65.0,172.0
47.0,158.0
80.0,170.0
78.0,178.0
42.0,164.0
65.0,157.0
69.0,170.0
84.0,180.0
74.0,184.0
126.0,183.0
73.0,175.0
65.0,170.0
86.0,163.0
56.0,174.0
74.0,160.0
88.0,162.0
115.0,180.0
59.0,176.0
78.0,165.0
98.0,174.0
142.0,166.0
91.0,170.0
75.0,155.0
80.0,186.0
38.0,147.0
88.0,160.0
63.0,168.0
47.0,153.0
109.0,183.0
96.0,180.0
65.0,168.0
86.0,167.0
65.0,175.0
78.0,178.0
70.0,168.0
106.0,177.0
65.0,174.0
49.0,170.0
65.0,167.0
58.0,168.0
61.0,173.0
82.0,180.0
48.0,163.0
75.0,156.0
115.0,180.0
187.0,162.0
58.0,163.0
110.0,180.0
73.0,174.0
102.0,172.0
74.0,182.0
90.0,165.0
45.0,166.0
60.0,162.0
110.0,172.0
83.0,178.0
54.0,185.0
72.0,163.0
95.0,184.0
43.0,165.0
61.0,165.0
60.0,168.0
46.0,163.0
110.0,176.0
56.0,158.0
70.0,163.0
92.0,170.0
75.0,179.0
73.0,169.0
86.0,172.0
54.0,160.0
95.0,158.0
52.0,163.0
120.0,175.0
61.0,171.0
65.0,162.0
88.0,174.0
70.0,163.0
60.0,175.0
55.0,165.0
64.0,155.0
55.0,161.0
52.0,170.0
70.0,175.0
70.0,170.0
60.0,172.0
64.0,165.0
56.0,156.0
58.0,170.0
85.0,154.0
83.0,187.0
55.0,158.0
74.0,183.0
120.0,180.0
59.0,162.0
78.0,184.0
61.0,171.0
69.0,157.0
102.0,182.0
72.0,165.0
80.0,173.0
37.0,157.0
98.0,162.0
142.0,167.0
47.0,160.0
90.0,170.0
110.0,175.0
83.0,178.0
79.0,170.0
90.0,170.0
84.0,180.0
78.0,180.0
116.0,189.0
60.0,140.0
63.0,166.0
45.0,160.0
65.0,165.0
67.0,179.0
96.0,167.0
62.0,170.0
95.0,190.0
58.0,150.0
90.0,182.0
57.0,153.0
57.0,167.0
47.0,160.0
59.0,164.0
61.0,178.0
78.0,173.0
53.0,157.0
68.0,170.0
80.0,163.0
61.0,168.0
70.0,180.0
66.0,159.0
73.0,180.0
83.0,167.0
63.0,170.0
64.0,180.0
64.0,169.0
57.0,164.0
75.0,173.0
70.0,172.0
88.0,164.0
69.0,165.0
65.0,170.0
91.0,170.0
92.0,163.0
90.0,170.0
73.0,183.0
50.0,167.0
68.0,172.0
70.0,162.0
91.0,175.0
63.0,186.0
48.0,165.0
49.0,147.0
